Organization,Repo_Name
facebook,react
lodash,lodash
axios,axios
webpack,webpack
angular,angular
pandas-dev,pandas
fastapi,fastapi
pallets,flask
huggingface,transformers
stanfordnlp,stanza
langchain-ai,langchain
jerryjliu,llama_index
deepset-ai,haystack
promptslab,promptify
ansible,ansible
saltstack,salt
StackStorm,st2
Fizzadar,pyinfra
openai,codex
anthropics,claude-code
Significant-Gravitas,AutoGPT
comfyanonymous,ComfyUI
langchain-ai,langgraph
langchain-ai,langgraphjs
lllyasviel,Fooocus
jlowin,fastmcp
